have	1315648 -> had,has,'ve,having,'s,'d,d,ve
steamroller	46 -> steamrollered,steamrollers,steamrollering
★stockholder	46 -> stockholders
★sumerian	46 -> sumerians
★superficiality	46 -> superficialities
★sweety	46 -> sweeties
★tahiti	46 -> tahitis
★thuringia	46 -> thuringias
★tillich	46 -> tilliches
tincture	46 -> tinctures,tinctured
★tobin	46 -> tobins
★topside	46 -> topsides
★tranquility	46 -> tranquilities
★trumpeter	46 -> trumpeters
★two-stroke	46 -> two-strokes
★umber	46 -> umbers
★undermining	46 -> underminings
untangle	46 -> untangling,untangles,untangled
up-date	46 -> up-dated,up-dating,up-dates
★vegetarianism	46 -> vegetarianisms
★waldheim	46 -> waldheims
★wayfarer	46 -> wayfarers
★wisteria	46 -> wisterias
actualize	45 -> actualized,actualizing,actualizes
★adagio	45 -> adagios
agonize	45 -> agonized,agonizing,agonizes
★alexia	45 -> alexias
★alumina	45 -> aluminas
★arminian	45 -> arminians
★asceticism	45 -> asceticisms
★atlase	45 -> atlases
★awl	45 -> awls
backhand	45 -> backhanded,backhander,backhands,backhanding
★bartender	45 -> bartenders
★beano	45 -> beanos
★beerbohm	45 -> beerbohms
bereave	45 -> bereaved,bereaves,bereft,bereaving
★bigram	45 -> bigrams
★biz	45 -> bizs
★bookstall	45 -> bookstalls
★bower-bird	45 -> bower-birds
★brassica	45 -> brassicas
★breathlessness	45 -> breathlessnesses
★breccia	45 -> breccias
★bulawayo	45 -> bulawayoes
★burnet	45 -> burnets
cabal	45 -> cabals,caballing
★cac	45 -> cacs
★caesium	45 -> caesiums
★candidiasis	45 -> candidiases
★caplan	45 -> caplans
★carlist	45 -> carlists
★casanova	45 -> casanovas
★castaway	45 -> castaways
★celebrant	45 -> celebrants
★chatterbox	45 -> chatterboxes
★colourist	45 -> colourists
conciliate	45 -> conciliating,conciliated,conciliates
★contravener	45 -> contraveners
★cosmonaut	45 -> cosmonauts
court-martial	45 -> court-martialled,court-martials,court-martialling
★crystallisation	45 -> crystallisations
★cutlet	45 -> cutlets
★deb	45 -> debs
distend	45 -> distended,distending,distends
doss	45 -> dossing,dossed,dosses
★douglas-home	45 -> douglas-homes
★downer	45 -> downers
dowse	45 -> dowsing,dowsed,dowses
★dredging	45 -> dredgings
★dualist	45 -> dualists
★electro-magnetic	45 -> electro-magnetics
★electrophorese	45 -> electrophoresed
★escherichia	45 -> escherichias
★escudo	45 -> escudos
★ex-member	45 -> ex-members
★ex-president	45 -> ex-presidents
★eyelet	45 -> eyelets
★falconry	45 -> falconries
★fattening	45 -> fattenings
feint	45 -> feints,feinted,feinting
★fhsa	45 -> fhsas
★fide	45 -> fides
★flaky	45 -> flakiest
★footlight	45 -> footlights
★forme	45 -> formes
★garbo	45 -> garboes
gell	45 -> gelled,gelling
★geraint	45 -> geraints
★glitch	45 -> glitches
★glitz	45 -> glitzs
★gorky	45 -> gorkies
★granuloma	45 -> granulomas
★groundsheet	45 -> groundsheets
★haley	45 -> haleys
★herbage	45 -> herbages
★high-flyer	45 -> high-flyers
★honorific	45 -> honorifics
hospitalize	45 -> hospitalized,hospitalizes,hospitalizing
★hyperventilation	45 -> hyperventilations
★ignominy	45 -> ignominies
★immunization	45 -> immunizations
★inaccessibility	45 -> inaccessibilities
★infallibility	45 -> infallibilities
★irish-american	45 -> irish-americans
★jailer	45 -> jailers
★khalifa	45 -> khalifas
★klan	45 -> klans
★lackey	45 -> lackeys
★lally	45 -> lallies
★lamplight	45 -> lamplights
★legalisation	45 -> legalisations
★littlewood	45 -> littlewoods
★longhouse	45 -> longhouses
★lugh	45 -> lughs
★lymphatic	45 -> lymphatics
★maharashtra	45 -> maharashtras
mailshot	45 -> mailshots,mailshotting
★malayan	45 -> malayans
★mauling	45 -> maulings
★meal-time	45 -> meal-times
★megaphone	45 -> megaphones
★meme	45 -> memes
★mensa	45 -> mensas
★meritocracy	45 -> meritocracies
★metope	45 -> metopes
★micrograph	45 -> micrographs
misconstrue	45 -> misconstrued,misconstruing,misconstrues
★moiety	45 -> moieties
★monoculture	45 -> monocultures
★mowing	45 -> mowings
★mustang	45 -> mustangs
★non-native	45 -> non-natives
★odonata	45 -> odonatas
★oratorio	45 -> oratorios
★palatinate	45 -> palatinates
pamphleteer	45 -> pamphleteers,pamphleteering
★panoply	45 -> panoplies
★pantograph	45 -> pantographs
★pc-nf	45 -> pc-nfs
penise	45 -> penises,penised
personalize	45 -> personalized,personalizing,personalizes
★pindar	45 -> pindars
★plutarch	45 -> plutarches
★pre-requisite	45 -> pre-requisites
★prenominal	45 -> prenominals
★proconsul	45 -> proconsuls
★ptolemaic	45 -> ptolemaics
★puffer	45 -> puffers
★pugin	45 -> pugins
★pyrotechnic	45 -> pyrotechnics
★quantifier	45 -> quantifiers
rapier	45 -> rapiers,rapiered
★rasmussen	45 -> rasmussens
re-appoint	45 -> re-appointed,re-appointing,re-appoints
re-equip	45 -> re-equipped,re-equipping,re-equips
rec	45 -> recs,recced
★retiral	45 -> retirals
★rosenbloom	45 -> rosenblooms
★rubbing	45 -> rubbings
★rumania	45 -> rumanias
rumple	45 -> rumpled,rumpling,rumples
★sacristy	45 -> sacristies
★sandpit	45 -> sandpits
★schizoid	45 -> schizoids
★schnabel	45 -> schnabels
★schoolhouse	45 -> schoolhouses
scoot	45 -> scooted,scooting,scoots
scrotum	45 -> scrotums,scrota
★second-b	45 -> second-best
★self-improvement	45 -> self-improvements
★shortbread	45 -> shortbreads
★sike	45 -> sikes
★single-mindedness	45 -> single-mindednesses
★slippy	45 -> slippier
smut	45 -> smuts,smutting
★snotling	45 -> snotlings
★soapbox	45 -> soapboxes
★sobriety	45 -> sobrieties
★sontag	45 -> sontags
★std	45 -> stds
stealthy	45 -> stealthier,stealthiest
★stop-gap	45 -> stop-gaps
★subjunctive	45 -> subjunctives
★substratum	45 -> substratums
★subtext	45 -> subtexts
★sumo	45 -> sumoes
★superfamily	45 -> superfamilies
★swale	45 -> swales
★tartar	45 -> tartars
★texel	45 -> texels
★toynbee	45 -> toynbees
trefoil	45 -> trefoils,trefoiled
★trenchcoat	45 -> trenchcoats
★triennial	45 -> triennials
★ultramarine	45 -> ultramarines
★unblink	45 -> unblinking
★unfamiliarity	45 -> unfamiliarities
unsay	45 -> unsaid,unsays,unsaying
vamp	45 -> vamps,vamping,vamped
vaunt	45 -> vaunted,vaunting,vaunts
★virago	45 -> viragos
★waxing	45 -> waxings
★whosoever	45 -> whomsoever
★wodehouse	45 -> wodehouses
★wriggling	45 -> wrigglings
★absorber	44 -> absorbers
★academician	44 -> academicians
★accra	44 -> accras
★afferent	44 -> afferents
★aftercare	44 -> aftercares
★agar	44 -> agars
★all-white	44 -> all-whites
★altimeter	44 -> altimeters
★andante	44 -> andantes
★andropulo	44 -> andropulos
★aneurin	44 -> aneurins
★antiparticle	44 -> antiparticles
★aorta	44 -> aortas
★apostate	44 -> apostates
★argon	44 -> argons
★asimov	44 -> asimovs
★astaire	44 -> astaires
★astropath	44 -> astropaths
★augustan	44 -> augustans
★autoantibody	44 -> autoantibodies
★baal	44 -> baals
★bantustan	44 -> bantustans
★bayer	44 -> bayers
★bed-and-breakfast	44 -> bed-and-breakfasts
behove	44 -> behoves,behoved,behoving
★belligerence	44 -> belligerences
★bellis	44 -> belliss
★berber	44 -> berbers
★bibliometric	44 -> bibliometrics
★bloodstock	44 -> bloodstocks
★brawn	44 -> brawns
★breakup	44 -> breakups
★brno	44 -> brnoes
★bronchodilator	44 -> bronchodilators
★buffaloe	44 -> buffaloes
★canis	44 -> caniss
★castilian	44 -> castilians
★centipede	44 -> centipedes
★chappy	44 -> chappies
★chili	44 -> chilis
★chipset	44 -> chipsets
★city-state	44 -> city-states
★cody	44 -> codies
★coliseum	44 -> coliseums
★communicant	44 -> communicants
★confucius	44 -> confuciuss
constipate	44 -> constipated,constipating,constipates
★contrition	44 -> contritions
★cosiness	44 -> cosinesses
★counterpane	44 -> counterpanes
★coverslip	44 -> coverslips
★crudity	44 -> crudities
★curragh	44 -> curraghs
★cyclamen	44 -> cyclamens
★czar	44 -> czars
★daybreak	44 -> daybreaks
★declarative	44 -> declaratives
★demerger	44 -> demergers
denature	44 -> denatured,denaturing,denatures
★denouement	44 -> denouements
★denudation	44 -> denudations
★depository	44 -> depositories
★descarte	44 -> descartes
★diaz	44 -> diazs
★diocletian	44 -> diocletians
★downsizing	44 -> downsizings
★downswing	44 -> downswings
★dunnock	44 -> dunnocks
★eames	44 -> eamess
★ear-ring	44 -> ear-rings
★eindhoven	44 -> eindhovens
emaciate	44 -> emaciated,emaciates,emaciating
embargoe	44 -> embargoes,embargoed
★embryology	44 -> embryologies
energize	44 -> energized,energizing,energizes
★epaulette	44 -> epaulettes
★essentialism	44 -> essentialisms
★ethyl	44 -> ethyls
★evaporite	44 -> evaporites
★fdr	44 -> fdrs
fine-tune	44 -> fine-tuned,fine-tuning
★finial	44 -> finials
★flack	44 -> flacks
★fleur	44 -> fleurs
★florio	44 -> florios
★footfall	44 -> footfalls
★friary	44 -> friaries
★gendarmerie	44 -> gendarmeries
★glan	44 -> glans
★glur	44 -> glurs
★greco	44 -> grecoes
★gullet	44 -> gullets
hallucinate	44 -> hallucinating,hallucinated,hallucinates
★has-been	44 -> has-beens
★hatching	44 -> hatchings
heft	44 -> hefted,hefting,hefts
★herschel	44 -> herschels
★histocompatibility	44 -> histocompatibilities
★honolulu	44 -> honolulus
★hosta	44 -> hostas
★hotteterre	44 -> hotteterres
★housebuild	44 -> housebuilding
humpback	44 -> humpbacks,humpbacked
★hyderabad	44 -> hyderabads
★hypoglycaemic	44 -> hypoglycaemics
★iguana	44 -> iguanas
★indexer	44 -> indexers
★industrialism	44 -> industrialisms
initialise	44 -> initialised,initialises,initialising
★interest-rate	44 -> interest-rates
jazzy	44 -> jazzier,jazziest
★juno	44 -> junoes
★kalashnikov	44 -> kalashnikovs
★keepsake	44 -> keepsakes
★keystroke	44 -> keystrokes
★khthon	44 -> khthons
koon	44 -> koons,kooning
lactate	44 -> lactating,lactates,lactated
lampoon	44 -> lampooned,lampoons,lampooning
★lawmaker	44 -> lawmakers
★leninist	44 -> leninists
★lioniser	44 -> lionisers
★lld	44 -> llds
★looter	44 -> looters
★lupin	44 -> lupins
★lyre	44 -> lyres
★madcap	44 -> madcaps
★mainsail	44 -> mainsails
manacle	44 -> manacles,manacled,manacling
miscalculate	44 -> miscalculated,miscalculating,miscalculates
★mother-of-pearl	44 -> mother-of-pearls
★motor-car	44 -> motor-cars
★neckband	44 -> neckbands
★nijinsky	44 -> nijinskies
★nippy	44 -> nippier
★nse	44 -> nses
★ocular	44 -> oculars
★oddness	44 -> oddnesses
★oligo	44 -> oligos
★oligopoly	44 -> oligopolies
★oooh	44 -> ooohed
★ormerod	44 -> ormerods
★orpington	44 -> orpingtons
★orthography	44 -> orthographies
★owing	44 -> owings
★paba	44 -> pabas
pabx	44 -> pabxs,pabxes
★pallium	44 -> palliums
★paratroop	44 -> paratroops
★penury	44 -> penuries
★phonograph	44 -> phonographs
★pica	44 -> picas
★piw	44 -> piws
★plosive	44 -> plosives
★polisher	44 -> polishers
★politicization	44 -> politicizations
★populaire	44 -> populaires
★press-up	44 -> press-ups
★prion	44 -> prions
punchy	44 -> punchier,punchiest
purvey	44 -> purveyed,purveying,purveys
★pygmalion	44 -> pygmalions
★quechua	44 -> quechuas
★reaffirmation	44 -> reaffirmations
★rhizome	44 -> rhizomes
★rocke	44 -> rockes
★sarcoma	44 -> sarcomas
★sava	44 -> savas
★sconce	44 -> sconces
scrubby	44 -> scrubbier,scrubbiest
★self-examination	44 -> self-examinations
★self-seeking	44 -> self-seekings
★selfridge	44 -> selfridges
★semi-permanent	44 -> semi-permanents
★sepulchre	44 -> sepulchres
sidetrack	44 -> sidetracked,sidetracks,sidetracking
★sixth-former	44 -> sixth-formers
skive	44 -> skiving,skived,skives
★slayer	44 -> slayers
★sleuth	44 -> sleuths
★slipway	44 -> slipways
★smugness	44 -> smugnesses
★sorbet	44 -> sorbets
★spreader	44 -> spreaders
★starship	44 -> starships
★stopfordian	44 -> stopfordians
★strangulation	44 -> strangulations
★stuntman	44 -> stuntmen
★tax-payer	44 -> tax-payers
★tuff	44 -> tuffs
★tussaud	44 -> tussauds
★tutore	44 -> tutored
★typhus	44 -> typhuss
★unionization	44 -> unionizations
★uptown	44 -> uptowner
★vending	44 -> vendings
victual	44 -> victuals,victualling,victualled
★wallcovering	44 -> wallcoverings
★weakling	44 -> weaklings
★weismann	44 -> weismanns
★willey	44 -> willeys
★wing-bar	44 -> wing-bars
★winslow	44 -> winslows
★abhorrence	43 -> abhorrences
★abidjan	43 -> abidjans
acidify	43 -> acidified,acidifying,acidifies
★aer	43 -> aers
★also-ran	43 -> also-rans
★amateurism	43 -> amateurisms
★angiography	43 -> angiographies
★annealing	43 -> annealings
★antechamber	43 -> antechambers
★anti-american	43 -> anti-americans
★antilles	43 -> antilless
★aonach	43 -> aonachs
★apanage	43 -> apanages
★armourer	43 -> armourers
★arras	43 -> arrass
★assignation	43 -> assignations
★assurer	43 -> assurers
★athenaeum	43 -> athenaeums
★athleticism	43 -> athleticisms
★attendee	43 -> attendees
★atv	43 -> atvs
★bal	43 -> bals
★beading	43 -> beadings
★bellini	43 -> bellinis
★bere	43 -> beres
★blancmange	43 -> blancmanges
★bleeper	43 -> bleepers
★bonker	43 -> bonkers
★bowater	43 -> bowaters
★britch	43 -> britches
burlesque	43 -> burlesques,burlesquing,burlesqued
★byword	43 -> bywords
★canvasser	43 -> canvassers
★canvassing	43 -> canvassings
★catalysis	43 -> catalyses
★catharsis	43 -> catharses
★cayenne	43 -> cayennes
★cezanne	43 -> cezannes
★cheroot	43 -> cheroots
circumcise	43 -> circumcised,circumcising,circumcises
co-chair	43 -> co-chairs,co-chaired,co-chairing
cohere	43 -> coheres,cohering,cohered
★collegian	43 -> collegians
★commissar	43 -> commissars
★conjuror	43 -> conjurors
★constructivism	43 -> constructivisms
★contraflow	43 -> contraflows
★coreldraw	43 -> coreldraws
★correlative	43 -> correlatives
counter-claim	43 -> counter-claims,counter-claimed
★dalliance	43 -> dalliances
★debugger	43 -> debuggers
★deferment	43 -> deferments
deprecate	43 -> deprecated,deprecating,deprecates
diaper	43 -> diapers,diapered
★diderot	43 -> diderots
discomfit	43 -> discomfited,discomfiting,discomfits,discomfitted
★doge	43 -> doges
★domestication	43 -> domestications
★ecm	43 -> ecms
★ectopic	43 -> ectopics
★egotism	43 -> egotisms
★eigenvector	43 -> eigenvectors
★embarkation	43 -> embarkations
empathise	43 -> empathising,empathises,empathised
★encoder	43 -> encoders
★enforcer	43 -> enforcers
★eroding	43 -> erodings
★escapee	43 -> escapees
★espousal	43 -> espousals
★exclusiveness	43 -> exclusivenesses
★extender	43 -> extenders
★firmament	43 -> firmaments
fop	43 -> fops,fopped
★framer	43 -> framers
★fylde	43 -> fyldes
★galleria	43 -> gallerias
★geophysicist	43 -> geophysicists
★gibberish	43 -> gibberishes
★ginseng	43 -> ginsengs
★gneiss	43 -> gneisses
★goddamn	43 -> goddamns
★greenness	43 -> greennesses
★groucho	43 -> grouchoes
★haifa	43 -> haifas
★hallowe'en	43 -> hallowe'ens
★haycock	43 -> haycocks
★hays	43 -> hayss
★hijra	43 -> hijras
★hip-hop	43 -> hip-hops
★hooter	43 -> hooters
★humanoid	43 -> humanoids
★humphry	43 -> humphries
★improver	43 -> improvers
★isla	43 -> islas
judder	43 -> juddered,juddering,judders
★jutland	43 -> jutlands
★katmandu	43 -> katmandus
★khanate	43 -> khanates
★khz	43 -> khzs
★kierkegaard	43 -> kierkegaards
★kinshasa	43 -> kinshasas
★laburnum	43 -> laburnums
★legatee	43 -> legatees
★lexeme	43 -> lexemes
★lichtenstein	43 -> lichtensteins
★linotype	43 -> linotypes
★masthead	43 -> mastheads
★meadowland	43 -> meadowlands
★merry-go-round	43 -> merry-go-rounds
★messina	43 -> messinas
★methylene	43 -> methylenes
★microsparc	43 -> microsparcs
★mig	43 -> migs
★minim	43 -> minims
misinform	43 -> misinformed,misinforming,misinforms
mismanage	43 -> mismanaged,mismanaging,mismanages
★monotheism	43 -> monotheisms
★motorcar	43 -> motorcars
★ndo	43 -> ndos
★neuroscience	43 -> neurosciences
★nocturne	43 -> nocturnes
★noe	43 -> noes
objectify	43 -> objectified,objectifying,objectifies
★office-holder	43 -> office-holders
★okinawa	43 -> okinawas
★out-migration	43 -> out-migrations
over-run	43 -> over-runs,over-running
overawe	43 -> overawed,overawes,overawing
pantile	43 -> pantiles,pantiled
★parallax	43 -> parallaxes
★parthenogenesis	43 -> parthenogeneses
paternoster	43 -> paternostered,paternosters
★patty	43 -> patties
★payee	43 -> payees
★penitential	43 -> penitentials
★perchance	43 -> perchanced
★phylloxera	43 -> phylloxeras
pigeon-hole	43 -> pigeon-holed,pigeon-holes,pigeon-holing
★piquet	43 -> piquets
portage	43 -> portages,portaged
★possessiveness	43 -> possessivenesses
★prolog	43 -> prologs
★psychodynamic	43 -> psychodynamics
★pueblo	43 -> pueblos
★pyle	43 -> pyles
★pyroclastic	43 -> pyroclastics
★quizze	43 -> quizzes
★redshift	43 -> redshifts
relearn	43 -> relearning,relearned,relearns
★renin	43 -> renins
★renshaw	43 -> renshaws
★reportage	43 -> reportages
★resourcefulness	43 -> resourcefulnesses
★reticulum	43 -> reticulums
★ribald	43 -> ribalds
★ritzy	43 -> ritzier
★rockery	43 -> rockeries
★roget	43 -> rogets
runnel	43 -> runnels,runnelling
★scaby	43 -> scabies
★scratchplate	43 -> scratchplates
★seamanship	43 -> seamanships
★seamstress	43 -> seamstresses
★seaplane	43 -> seaplanes
★seasider	43 -> seasiders
★self-concept	43 -> self-concepts
★sharia	43 -> sharias
★sheik	43 -> sheiks
★shill	43 -> shills
★shoplifter	43 -> shoplifters
short-list	43 -> short-listing,short-lists,short-listed
★sinistral	43 -> sinistrals
★softener	43 -> softeners
★solstice	43 -> solstices
★sparkler	43 -> sparklers
★spatula	43 -> spatulas
spiel	43 -> spiels,spieling,spieled
★split-second	43 -> split-seconds
★spoiler	43 -> spoilers
★squatting	43 -> squattings
★stoicism	43 -> stoicisms
★straining	43 -> strainings
★struggler	43 -> strugglers
★sub-clause	43 -> sub-clauses
★tetrachloride	43 -> tetrachlorides
★third-year	43 -> third-years
★tomboy	43 -> tomboys
★triomphe	43 -> triomphes
unhinge	43 -> unhinged,unhinges,unhinging
unhook	43 -> unhooked,unhooking,unhooks
★unloading	43 -> unloadings
unpick	43 -> unpicking,unpicked,unpicks
★urging	43 -> urgings
★usury	43 -> usuries
★valency	43 -> valencies
★vito	43 -> vitos
★vive	43 -> vives
★waco	43 -> wacoes
★waterski	43 -> waterskiing
★weatherman	43 -> weathermen
★wegener	43 -> wegeners
★women	43 -> womens
★yardage	43 -> yardages
★yummy	43 -> yummiest
★zener	43 -> zeners
★acetone	42 -> acetones
★acyclovir	42 -> acyclovirs
★airedale	42 -> airedales
★aneurysm	42 -> aneurysms
★anhydrite	42 -> anhydrites
★animus	42 -> animuss
★anti-nazi	42 -> anti-nazis
★aramaic	42 -> aramaics
★archon	42 -> archons
★autocatalyst	42 -> autocatalysts
★axel	42 -> axels
★ballooning	42 -> balloonings
★balsam	42 -> balsams
★benzodiazepine	42 -> benzodiazepines
★bering	42 -> berings
★billingsgate	42 -> billingsgates
★boozer	42 -> boozers
★born-again	42 -> born-agains
★botticelli	42 -> botticellis
★boyne	42 -> boynes
★branding	42 -> brandings
★brigand	42 -> brigands
★bryden	42 -> brydens
★buffoon	42 -> buffoons
★bund	42 -> bunds
★calyx	42 -> calyxes
★camembert	42 -> camemberts
★cannonball	42 -> cannonballs
★cardiologist	42 -> cardiologists
★cartographer	42 -> cartographers
★cellist	42 -> cellists
★circlet	42 -> circlets
clthe	42 -> clothing,cluthing
★clumsiness	42 -> clumsinesses
★cognisance	42 -> cognisances
★come-back	42 -> come-backs
★consonance	42 -> consonances
★constitutionalism	42 -> constitutionalisms
★contortion	42 -> contortions
★coombe	42 -> coombes
★creatine	42 -> creatines
★cybernetic	42 -> cybernetics
★dail	42 -> dails
★daphnia	42 -> daphnias
dapple	42 -> dappled,dappling,dapples
★debutante	42 -> debutantes
dement	42 -> dementing,dements
★detente	42 -> detentes
★deuteronomy	42 -> deuteronomies
★dime	42 -> dimes
★discontinuance	42 -> discontinuances
★dismemberment	42 -> dismemberments
dispirit	42 -> dispirited,dispirits,dispiriting
★docking	42 -> dockings
★dory	42 -> dories
★dulle	42 -> dulles
★ect	42 -> ects
★eelam	42 -> eelams
★erp	42 -> erps
★escapist	42 -> escapists
★expansionism	42 -> expansionisms
★faulting	42 -> faultings
feeler	42 -> feelers,feelered
★felon	42 -> felons
★firstborn	42 -> firstborns
★foreplay	42 -> foreplays
★fumbling	42 -> fumblings
★furnisher	42 -> furnishers
★gemstone	42 -> gemstones
★gilman	42 -> gilmen
★goal-line	42 -> goal-lines
★gourd	42 -> gourds
★grammar-school	42 -> grammar-schools
★gramp	42 -> gramps
★halberd	42 -> halberds
★hansom	42 -> hansoms
hashemite	42 -> hashemites,hashemiter
★headquarter	42 -> headquartered
★hitter	42 -> hitters
hoodwink	42 -> hoodwinked,hoodwinking,hoodwinks
★houseboat	42 -> houseboats
★hutt	42 -> hutts
★imprimatur	42 -> imprimaturs
incise	42 -> incised,incising,incises
induct	42 -> inducted,inducting,inducts
industrialize	42 -> industrializing,industrialized,industrializes
inflect	42 -> inflected,inflects,inflecting
★insincerity	42 -> insincerities
★jawline	42 -> jawlines
★jove	42 -> joves
★kubrick	42 -> kubricks
leaven	42 -> leavened,leavening,leavens
★linearity	42 -> linearities
★lint	42 -> lints
★loggia	42 -> loggias
★lorentz	42 -> lorentzs
★loveliness	42 -> lovelinesses
★malaga	42 -> malagas
manufactory	42 -> manufactories,manufactorys
★massine	42 -> massines
★mcluhan	42 -> mcluhans
★meltdown	42 -> meltdowns
★metaphysics	42 -> metaphysicss
★midas	42 -> midass
miff	42 -> miffed,miffs,miffing
★minesweeper	42 -> minesweepers
mishandle	42 -> mishandled,mishandling,mishandles
★misogynist	42 -> misogynists
★mitford	42 -> mitfords
★montaigne	42 -> montaignes
★motorsport	42 -> motorsports
★mousetrap	42 -> mousetraps
neigh	42 -> neighing,neighed,neighs
★nuclease	42 -> nucleases
★oblast	42 -> oblasts
★off-season	42 -> off-seasons
★ostentation	42 -> ostentations
outshine	42 -> outshines,outshining,outshone
★overmuch	42 -> overmuches
overstress	42 -> overstressed,overstressing
★own-label	42 -> own-labels
★pah	42 -> pahs
★palisade	42 -> palisades
★palpitation	42 -> palpitations
★pariah	42 -> pariahs
★patristic	42 -> patristics
★paviour	42 -> paviours
★peeping	42 -> peepings
★penman	42 -> penmen
personalise	42 -> personalised,personalising,personalises
★pesto	42 -> pestoes
★phase-out	42 -> phases-out
★ping-pong	42 -> ping-pongs
★pinner	42 -> pinners
★plainsong	42 -> plainsongs
★polgar	42 -> polgars
★pomegranate	42 -> pomegranates
★poppet	42 -> poppets
★pressure-group	42 -> pressure-groups
★pretreat	42 -> pretreated
★pro-european	42 -> pro-europeans
purl	42 -> purling,purls,purled
★radiologist	42 -> radiologists
★railcoach	42 -> railcoaches
★rameau	42 -> rameaux
★reactance	42 -> reactances
★receptivity	42 -> receptivities
★relatedness	42 -> relatednesses
remount	42 -> remounted,remounts,remounting
repackage	42 -> repackaged,repackaging,repackages
★revitalisation	42 -> revitalisations
★run-out	42 -> run-outs
★ryman	42 -> rymans
★saunderson	42 -> saundersons
★scotty	42 -> scotties
★semester	42 -> semesters
★serengeti	42 -> serengetis
★seroconvert	42 -> seroconverted
★shake-out	42 -> shake-outs
★shearing	42 -> shearings
★shedding	42 -> sheddings
★shut-down	42 -> shut-downs
★sioux	42 -> siouxes
★slider	42 -> sliders
slinky	42 -> slinkier,slinkiest
★sneaker	42 -> sneakers
★sodom	42 -> sodoms
★spacer	42 -> spacers
★spf	42 -> spfs
★spittal	42 -> spittals
splat	42 -> splats,splatted
★stepbrother	42 -> stepbrothers
★stepdaughter	42 -> stepdaughters
★streep	42 -> streeps
★sub-title	42 -> sub-titles
★subaltern	42 -> subalterns
★swimfeeder	42 -> swimfeeders
★taco	42 -> tacos
★tasmanian	42 -> tasmanians
★thirteen-year-old	42 -> thirteen-year-olds
★thoreau	42 -> thoreaux
time-table	42 -> time-tables,time-tabling
★tomahawk	42 -> tomahawks
★tryst	42 -> trysts
★twenty-second	42 -> twenty-seconds
★twinning	42 -> twinnings
★tyke	42 -> tykes
★underarm	42 -> underarms
underlay	42 -> underlaid,underlaying,underlays
★underwing	42 -> underwings
★veterinarian	42 -> veterinarians
★vivacity	42 -> vivacities
★viyella	42 -> viyellas
★wagtail	42 -> wagtails
★waistline	42 -> waistlines
★waning	42 -> wanings
★water-skiing	42 -> water-skiings
★waterproofing	42 -> waterproofings
★wedlock	42 -> wedlocks
★whimsy	42 -> whimsies
★whippet	42 -> whippets
★xinjiang	42 -> xinjiangs
★ypres	42 -> ypress
★yuletide	42 -> yuletides
★'and	41 -> 'ands
abridge	41 -> abridged,abridging,abridges
★abstruse	41 -> abstruser
★academe	41 -> academes
accrete	41 -> accreted,accreting,accretes
★acquiring	41 -> acquirings
★aleppo	41 -> aleppoes
★americana	41 -> americanas
★amerindian	41 -> amerindians
★aminotransferase	41 -> aminotransferases
★andesite	41 -> andesites
★anti-socialist	41 -> anti-socialists
★antisemitism	41 -> antisemitisms
architrave	41 -> architraves,architraved
★arrowsmith	41 -> arrowsmiths
★audubon	41 -> audubons
★baluster	41 -> balusters
★bassline	41 -> basslines
★biosensor	41 -> biosensors
★birthrate	41 -> birthrates
★bittern	41 -> bitterns
★black-out	41 -> black-outs
★blankness	41 -> blanknesses
★bong	41 -> bongs
boomerang	41 -> boomerangs,boomeranging,boomeranged
★boy-friend	41 -> boy-friends
burgeon	41 -> burgeoned,burgeons,burgeoning
★byelorussian	41 -> byelorussians
★caballero	41 -> caballeros
★canute	41 -> canutes
★carpark	41 -> carparks
★cassava	41 -> cassavas
★cassius	41 -> cassiuss
★cathartic	41 -> cathartics
★charades	41 -> charadess
chewy	41 -> chewier,chewiest
★chiropodist	41 -> chiropodists
★cholecystolithotomy	41 -> cholecystolithotomies
★chopstick	41 -> chopsticks
★circularity	41 -> circularities
★citizenry	41 -> citizenries
★co-option	41 -> co-options
★coffee-cup	41 -> coffee-cups
★computerization	41 -> computerizations
★connivance	41 -> connivances
★converging	41 -> convergings
★corvette	41 -> corvettes
★crayfish	41 -> crayfishes
★cross-over	41 -> cross-overs
★crusher	41 -> crushers
★cultivar	41 -> cultivars
★datafile	41 -> datafiles
day-dream	41 -> day-dreaming,day-dreams
★decisiveness	41 -> decisivenesses
★defensiveness	41 -> defensivenesses
★delacroix	41 -> delacroixes
★dinner-party	41 -> dinner-parties
★divination	41 -> divinations
★dobermann	41 -> dobermanns
dodder	41 -> doddering,dodders,doddered
dogfight	41 -> dogfights,dogfighting
domineer	41 -> domineering,domineered,domineers
★doolittle	41 -> doolittles
★dumper	41 -> dumpers
★echolocation	41 -> echolocations
★ecowa	41 -> ecowas
★eleven-plus	41 -> eleven-pluss
★emirate	41 -> emirates
★exploding	41 -> explodings
★externalization	41 -> externalizations
★feherty	41 -> fehertys
★firebrand	41 -> firebrands
★flagon	41 -> flagons
★flatulence	41 -> flatulences
★fokker	41 -> fokkers
★fremont	41 -> fremonts
gargle	41 -> gargled,gargling,gargles
★gilgamesh	41 -> gilgameshes
★granger	41 -> grangers
greye	41 -> greyer,greyest
★gripper	41 -> grippers
★gruel	41 -> gruels
★guiana	41 -> guianas
★gujarat	41 -> gujarats
★haberdasher	41 -> haberdashers
★heckler	41 -> hecklers
★hutchins	41 -> hutchinss
★icu	41 -> icus
